row,kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,clarans_cluster
79350,0,50.0,75000,85000.0,95.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,4.08,1
70783,3,51.0,75000,265000.0,28.5,20%-<30%,Race Not Available,Home_Improvement,Principal_Residence,Originated,31.33,1
22571,3,78.0,125000,185000.0,67.71,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,10.6,6
189,0,50.0,135000,135000.0,103.826,30%-<36%,Black or African American,Home_Purchase,Principal_Residence,Originated,99.05,5
42786,0,28.0,85000,115000.0,78.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,6.92,1
24895,0,75.0,395000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,76.07,5
83823,5,124.0,65000,205000.0,89.785,30%-<36%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,36.67,4
47032,0,49.0,65000,75000.0,103.961,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,14.96,1
52556,3,111.0,55000,145000.0,38.97,<20%,White,CashOut_Refinance,Principal_Residence,Originated,40.69,6
84764,3,41.0,25000,265000.0,11.11,43%-<50%,White,Refinance,Principal_Residence,Originated,7.75,6
19549,0,50.0,205000,205000.0,100.0,Unknown,Black or African American,Home_Purchase,Principal_Residence,Preapproval_Denied,0.0,1
5308,0,18.0,65000,65000.0,95.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,72.98,5
60336,6,22.0,105000,535000.0,48.831,>60%,White,Other,Principal_Residence,Denied,33.51,0
50601,6,77.0,245000,355000.0,70.0,50%-60%,Asian,Home_Purchase,Principal_Residence,Approved_NotAccepted,49.25,0
22711,6,12.0,55000,365000.0,13.62,>60%,White,Home_Improvement,Principal_Residence,Denied,9.44,0
56432,3,23.0,125000,375000.0,78.353,Exempt,White,Refinance,Principal_Residence,Withdrawn,7.77,6
85436,3,52.0,305000,475000.0,64.255,43%-<50%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,22.52,6
59256,2,203.0,265000,615000.0,43.089,36%-<43%,White,Home_Purchase,Investment,Originated,53.33,3
88982,6,56.0,275000,275000.0,96.5,50%-60%,Black or African American,Home_Purchase,Principal_Residence,Originated,83.17,0
8770,0,282.0,705000,1355000.0,51.852,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,40.07,1
83283,0,95.0,165000,175000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,59.72,5
17484,0,260.0,525000,375000.0,78.353,Unknown,White,Home_Purchase,Second_Residence,Withdrawn,12.44,1
34919,4,53.0,125000,135000.0,95.0,43%-<50%,White,Home_Purchase,Principal_Residence,Denied,5.44,2
9415,3,131.0,235000,285000.0,80.0,<20%,Race Not Available,CashOut_Refinance,Principal_Residence,Denied,12.35,6
97427,1,925.0,2445000,3055000.0,80.0,36%-<43%,Joint,Home_Purchase,Second_Residence,Originated,70.04,4
84326,0,97.0,65000,375000.0,78.353,Exempt,White,Home_Purchase,Principal_Residence,Originated,7.89,1
87860,1,450.0,1085000,1355000.0,80.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,15.59,1
19017,0,98.0,205000,205000.0,99.517,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,24.16,1
52205,3,95.0,545000,615000.0,88.89,Unknown,White,Refinance,Principal_Residence,Originated,15.41,6
51770,0,151.0,475000,495000.0,95.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,17.22,1
27223,0,109.0,215000,225000.0,95.0,30%-<36%,White,Home_Purchase,Principal_Residence,Approved_NotAccepted,38.22,1
